,Susceptible,Infected,Recovered,Dead
0,0.999547203984605,0.0004527960153950645,0.0,0.0
1,0.9993433035952453,0.0005109283334259648,2.8213175095876243e-05,0.00011755489623281772
2,0.9991408814620302,0.0005549626832793805,5.886887510143413e-05,0.0002452869795893089
3,0.9989255674541347,0.0005982382593579084,9.216663609819697e-05,0.00038402765040915405
4,0.9986950881142228,0.0006432637388688493,0.00012806093165967147,0.0005335872152486313
5,0.9984509756403648,0.000687964453677502,0.00016665675599180241,0.0006944031499658436
6,0.998194001505085,0.0007316696083173568,0.00020793462321245254,0.0008663942633852188
7,0.9979089737509546,0.0007898797838693949,0.0002518347997114939,0.0010493116654645578
8,0.9975981993405143,0.000855791461310059,0.0002992275867436576,0.0012467816114319068
9,0.9972685412599774,0.0009201541888408514,0.0003505750744222612,0.0014607294767594221
10,0.9969177435513197,0.0009857040989577914,0.0004057843257527122,0.0016907680239696343
11,0.9965374833566604,0.0010603960229404732,0.0004649265716901797,0.0019371940487090823
12,0.9961240066619567,0.0011451499505326444,0.0005285503330666083,0.0022022930544442006
13,0.995684945430471,0.0012292146973529824,0.000597259330098567,0.0024885805420773615
14,0.9952104875008309,0.0013226160708140094,0.0006710122119397458,0.0027958842164156074
15,0.9946984226138097,0.0014246699758826836,0.0007503691761885864,0.0031265382341191103
16,0.9941503350202666,0.0015311098769019934,0.0008358493747415473,0.0034827057280897807
17,0.9935519255577447,0.0016548752775843816,0.0009277159673556671,0.0038654831973152786
18,0.9929146471158368,0.0017791423834412716,0.0010270084840107298,0.004279202016711375
19,0.99221970857455,0.0019225467858610455,0.0011337570270172062,0.004723987612571693
20,0.9914695264312477,0.0020767394255464524,0.0012491098341688687,0.005204624309036953
21,0.9906635077770617,0.002238968857813034,0.001373714199701656,0.005723809165423568
22,0.989788268461225,0.002420127827727639,0.001508052331170438,0.006283551379876826
23,0.9888478080846717,0.0026103485776853685,0.0016532600008340964,0.006888583336808735
24,0.9878310955518549,0.0028178530514197634,0.0018098809154952183,0.007541170481230079
25,0.9867369367368682,0.0030384774204663414,0.0019789520985804047,0.008245633744085018
26,0.9855551785298439,0.0032783076271460563,0.0021612607438083846,0.009005253099201603
27,0.9842832402619842,0.0035339705305904544,0.002357959201437149,0.009824830005988118
28,0.9829156066025272,0.0038060733255646005,0.0025699974332725754,0.010708322638635732
29,0.9814431207051263,0.004098676492040371,0.002798361832806452,0.011659840970026883
30,0.9798530136483367,0.004418193836297336,0.003044282422328874,0.012684510093036975
31,0.9781386215325834,0.004762945862798471,0.003309374052506714,0.013789058552111308
32,0.9763015713043944,0.005123482873520225,0.0035951508042746222,0.014979795017810927
33,0.9743265274663679,0.0055102470207553655,0.0039025597766858358,0.016260665736190984
34,0.9722080001706853,0.005920597740003759,0.004233174597931158,0.01763822749137983
35,0.9699369878021195,0.006356224809168222,0.0045884104623313835,0.01911837692638076
36,0.9675068829910354,0.006815899929410199,0.004969783950881475,0.02070743312867282
37,0.9649076510268967,0.007302202915431958,0.0053787379466460885,0.022411408111025367
38,0.9621324613207536,0.00781370971779106,0.005816870121572006,0.024236958839883353
39,0.9591783453496064,0.008345575676422821,0.006285692704639469,0.026190386269331123
40,0.9560295691123664,0.008907223453971923,0.006786427245224838,0.028276780188436823
41,0.9526845174171428,0.009491035878464303,0.007320860652463154,0.03050358605192981
42,0.9491339623333578,0.010099369839925449,0.00789032280517101,0.03287634502154589
43,0.9453769069669588,0.010725620555947477,0.00849628499556654,0.035401187481527256
44,0.9414041339035019,0.011373451247060686,0.009139822228923388,0.03808259262051412
45,0.9372153514917031,0.012036463772270427,0.00982222930374703,0.04092595543227928
46,0.9328084880856315,0.01271202340893828,0.010544417130083254,0.0439350713753469
47,0.9281832200858122,0.013396564151986801,0.011307138534619551,0.047113077227581464
48,0.9233443928394209,0.014082456511262142,0.012110932383738757,0.05046221826557816
49,0.918295007614317,0.014766280217874836,0.012955879774414487,0.05398283239339371
50,0.9130389825952662,0.015444758369384267,0.013841856587486979,0.0576744024478624
51,0.9075858654646815,0.01611000040545997,0.014768542089650033,0.061535592040208476
52,0.9019432643053779,0.01675850143907091,0.015735142113977627,0.06556309214157348
53,0.8961268133873483,0.017379816910988662,0.016740652200321882,0.0697527175013412
54,0.890149966808243,0.017968920247687353,0.017783441214981207,0.07409767172908836
55,0.8840247059756312,0.018523815803516183,0.018861576429842444,0.0785899017910102
56,0.8777744052009654,0.019031733679091955,0.019973005378053417,0.08322085574188924
57,0.871414864569987,0.019491436869551817,0.021114909398798936,0.08797878916166224
58,0.8649683886103927,0.019895567399585038,0.022284395610972046,0.09285164837905018
59,0.8584584142296695,0.020237915886436853,0.023478129654947142,0.09782554022894645
60,0.8519075665908908,0.02051500960042034,0.02469240460813336,0.10288501920055564
61,0.8453394544541161,0.020723468761064616,0.025923305184158578,0.10801377160066074
62,0.8387791798858807,0.02085946801336996,0.027166713309822458,0.1131946387909269
63,0.8322489762106873,0.02092323660441843,0.028418281390624654,0.11840950579426938
64,0.8257730347899036,0.020912974677832753,0.02967367558688976,0.123640314945374
65,0.8193751061086554,0.02082788120895284,0.030928454067559723,0.1288685586148322
66,0.8130731692535766,0.020673174889256088,0.0321781269400969,0.13407552891707042
67,0.8068894938770893,0.020448166050073994,0.03341851743345227,0.13924382263938442
68,0.8008425350815581,0.020156193370082263,0.03464540739645669,0.14435586415190296
69,0.7949481416213119,0.019802166885603045,0.035854778998661636,0.14939491249442347
70,0.7892181402482789,0.019393496524099035,0.03704290901179781,0.1543454542158242
71,0.7836670755055006,0.01893257734440663,0.03820651880324376,0.159193828346849
72,0.778306187849397,0.01842436602374421,0.03934247344390814,0.16392697268295067
73,0.7731408577768264,0.017878142628954184,0.040447935405332806,0.16853306418888675
74,0.768177860582692,0.01729891560811272,0.041520623963070054,0.17300259984612526
75,0.763422690835837,0.016691421516452594,0.042558558899556814,0.1773273287481534
76,0.7588770280917854,0.016062743590404025,0.043560044190543976,0.18150018412726657
77,0.7545394995363734,0.015420821632790764,0.044523808805968214,0.18551587002486766
78,0.7504119080368302,0.01476795842616869,0.045449058103935666,0.18937107543306528
79,0.7464940680053257,0.014107731345561153,0.04633513560950578,0.1930630650396075
80,0.742779886840689,0.013448515793073731,0.047181599490239444,0.1965899978759978
81,0.7392650927258188,0.012794270012091255,0.04798851043782387,0.19995212682426622
82,0.7359456380040806,0.012147501030081078,0.04875616663854936,0.203150694327289
83,0.7328153009694697,0.011512112745366967,0.04948501670035421,0.20618756958480924
84,0.7298657043806678,0.010892954383105028,0.050175743465076236,0.209065597771151
85,0.7270926999888974,0.01028914291611269,0.050829320728062545,0.21178883636692722
86,0.7244884986312887,0.009703709969726495,0.051446669303029297,0.21436112209595545
87,0.722046105260144,0.009137953250255928,0.05202889190121289,0.21678704958838704
88,0.7197578520485418,0.008593440954278796,0.05257716909622825,0.21907153790095105
89,0.7176144302752395,0.008072896031754826,0.05309277555348496,0.22121989813952078
90,0.7156082400579987,0.007576488479151504,0.05357714931539025,0.22323812214745942
91,0.7137337965068854,0.007102220601727836,0.05403173862413935,0.22513224426724732
92,0.7119815660173486,0.006652762704729163,0.054457871860243014,0.2269077994176793
93,0.7103464651441816,0.0062255071394301,0.05485703762252677,0.22857099009386153
94,0.708821240446759,0.005820824623629308,0.05523056805089259,0.2301273668787191
95,0.7073987984091267,0.00543881102793675,0.05557981752831034,0.23158257303462643
96,0.7060726644232234,0.005078913595179478,0.05590614618998654,0.23294227579161061
97,0.7048374148368923,0.004739699967004881,0.0562108810056973,0.23421200419040542
98,0.7036863681452705,0.004421439668855176,0.056495263003717607,0.23539692918215668
99,0.7026143207995376,0.004122840717242924,0.056760549383848904,0.23650228909937046
100,0.7016170771076393,0.003842003786795822,0.057007919826883496,0.2375329992786812
