origin,'s-Hertogenbosch,Alphen-Chaam,Altena,Asten,Baarle-Nassau,Bergeijk,Bergen op Zoom,Bernheze,Best,Bladel,Boekel,Boxmeer,Boxtel,Breda,Cranendonck,Cuijk,Deurne,Dongen,Drimmelen,Eersel,Eindhoven,Etten-Leur,Geertruidenberg,Geldrop-Mierlo,Gemert-Bakel,Gilze en Rijen,Goirle,Grave,Haaren,Halderberge,Heeze-Leende,Helmond,Heusden,Hilvarenbeek,Laarbeek,Landerd,Loon op Zand,Meierijstad,Mill en Sint Hubert,Moerdijk,"Nuenen, Gerwen en Nederwetten",Oirschot,Oisterwijk,Oosterhout,Oss,Reusel-De Mierden,Roosendaal,Rucphen,Sint Anthonis,Sint-Michielsgestel,Someren,Son en Breugel,Steenbergen,Tilburg,Uden,Valkenswaard,Veldhoven,Vught,Waalre,Waalwijk,Woensdrecht,Zundert
Boekel,180.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,6575.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,400.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,1433.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boxmeer,140.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,25252.0,0.0,100.0,0.0,920.0,100.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,100.0,0.0,0.0,150.0,0.0,0.0,0.0,140.0,0.0,0.0,0.0,100.0,0.0,283.0,140.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,420.0,0.0,0.0,100.0,0.0,100.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boxtel,1820.0,0.0,100.0,0.0,0.0,0.0,100.0,100.0,300.0,100.0,0.0,0.0,22120.0,220.0,0.0,0.0,0.0,0.0,0.0,0.0,1060.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,200.0,0.0,0.0,120.0,100.0,0.0,0.0,0.0,0.0,1367.0,0.0,0.0,0.0,120.0,140.0,100.0,140.0,0.0,100.0,0.0,0.0,300.0,0.0,160.0,0.0,760.0,160.0,0.0,120.0,520.0,0.0,120.0,100.0,0.0
Breda,1560.0,180.0,280.0,0.0,100.0,0.0,840.0,100.0,100.0,100.0,0.0,100.0,100.0,154253.0,0.0,200.0,100.0,440.0,860.0,100.0,1840.0,2580.0,800.0,200.0,100.0,1020.0,200.0,333.0,200.0,540.0,100.0,380.0,180.0,100.0,100.0,0.0,340.0,333.0,0.0,1280.0,0.0,433.0,140.0,2900.0,140.0,100.0,2420.0,200.0,0.0,0.0,0.0,100.0,100.0,4540.0,100.0,100.0,220.0,100.0,0.0,880.0,900.0,460.0
Cranendonck,220.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,120.0,15760.0,0.0,100.0,0.0,0.0,0.0,1480.0,0.0,0.0,220.0,0.0,100.0,0.0,0.0,0.0,0.0,420.0,180.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,100.0,0.0,440.0,300.0,0.0,100.0,0.0,0.0,0.0
Cuijk,260.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,940.0,0.0,120.0,0.0,21091.0,0.0,0.0,0.0,0.0,220.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,100.0,0.0,300.0,300.0,0.0,0.0,0.0,0.0,100.0,240.0,0.0,100.0,0.0,180.0,0.0,0.0,0.0,0.0,100.0,320.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0
Deurne,200.0,0.0,0.0,640.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,100.0,100.0,120.0,0.0,100.0,24829.0,0.0,0.0,0.0,1380.0,0.0,0.0,220.0,440.0,0.0,0.0,0.0,0.0,0.0,100.0,1960.0,0.0,0.0,100.0,0.0,0.0,433.0,0.0,0.0,100.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,320.0,160.0,0.0,160.0,140.0,100.0,160.0,100.0,0.0,0.0,0.0,0.0
Dongen,280.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,100.0,1540.0,0.0,0.0,0.0,17696.0,100.0,0.0,240.0,100.0,220.0,0.0,0.0,400.0,125.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,340.0,0.0,0.0,100.0,0.0,200.0,100.0,1180.0,100.0,0.0,150.0,100.0,0.0,0.0,0.0,0.0,0.0,1840.0,0.0,0.0,0.0,0.0,0.0,640.0,0.0,0.0
Drimmelen,180.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2480.0,0.0,0.0,100.0,100.0,19390.0,0.0,140.0,260.0,540.0,0.0,0.0,100.0,0.0,0.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,100.0,0.0,0.0,620.0,0.0,100.0,0.0,1220.0,0.0,0.0,220.0,100.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,100.0,0.0,0.0,200.0,100.0,0.0
Eersel,180.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,100.0,1000.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,13150.0,1440.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,200.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,240.0,0.0,180.0,1020.0,0.0,100.0,0.0,0.0,0.0
