origin,'s-Hertogenbosch,Alphen-Chaam,Altena,Asten,Baarle-Nassau,Bergeijk,Bergen op Zoom,Bernheze,Best,Bladel,Boekel,Boxmeer,Boxtel,Breda,Cranendonck,Cuijk,Deurne,Dongen,Drimmelen,Eersel,Eindhoven,Etten-Leur,Geertruidenberg,Geldrop-Mierlo,Gemert-Bakel,Gilze en Rijen,Goirle,Grave,Haaren,Halderberge,Heeze-Leende,Helmond,Heusden,Hilvarenbeek,Laarbeek,Landerd,Loon op Zand,Meierijstad,Mill en Sint Hubert,Moerdijk,"Nuenen, Gerwen en Nederwetten",Oirschot,Oisterwijk,Oosterhout,Oss,Reusel-De Mierden,Roosendaal,Rucphen,Sint Anthonis,Sint-Michielsgestel,Someren,Son en Breugel,Steenbergen,Tilburg,Uden,Valkenswaard,Veldhoven,Vught,Waalre,Waalwijk,Woensdrecht,Zundert
Roosendaal,220.0,0.0,200.0,0.0,0.0,0.0,2800.0,0.0,100.0,100.0,0.0,100.0,0.0,2340.0,100.0,0.0,0.0,0.0,100.0,0.0,520.0,1300.0,140.0,0.0,100.0,100.0,0.0,0.0,0.0,1100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1160.0,0.0,0.0,0.0,300.0,125.0,0.0,63397.0,440.0,0.0,0.0,0.0,0.0,400.0,520.0,0.0,0.0,0.0,250.0,0.0,100.0,620.0,300.0
Rucphen,100.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,1040.0,0.0,0.0,0.0,0.0,100.0,0.0,120.0,1320.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280.0,0.0,0.0,0.0,100.0,0.0,0.0,1540.0,16372.0,0.0,0.0,0.0,0.0,100.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,300.0
Sint Anthonis,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1000.0,0.0,100.0,0.0,320.0,100.0,0.0,0.0,0.0,160.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,200.0,220.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,8446.0,0.0,0.0,0.0,0.0,100.0,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sint-Michielsgestel,3580.0,0.0,0.0,0.0,100.0,0.0,0.0,200.0,100.0,0.0,0.0,0.0,740.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0,540.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,100.0,100.0,0.0,100.0,0.0,0.0,1717.0,0.0,0.0,0.0,0.0,100.0,100.0,320.0,0.0,100.0,0.0,0.0,18984.0,0.0,100.0,0.0,520.0,240.0,0.0,100.0,420.0,0.0,100.0,100.0,0.0
Someren,100.0,0.0,0.0,880.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,320.0,0.0,0.0,0.0,980.0,0.0,0.0,320.0,100.0,100.0,0.0,0.0,0.0,0.0,240.0,820.0,0.0,0.0,100.0,0.0,0.0,200.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14142.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0
Son en Breugel,300.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,280.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,2180.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,180.0,100.0,0.0,100.0,0.0,0.0,1167.0,0.0,0.0,100.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,10837.0,0.0,240.0,100.0,0.0,220.0,100.0,0.0,0.0,0.0,0.0
Steenbergen,100.0,0.0,0.0,0.0,0.0,0.0,1440.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,600.0,0.0,0.0,0.0,100.0,0.0,0.0,1240.0,100.0,0.0,0.0,0.0,0.0,19114.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,160.0,100.0
Tilburg,4000.0,120.0,200.0,0.0,120.0,100.0,360.0,240.0,480.0,320.0,0.0,150.0,580.0,6060.0,100.0,100.0,100.0,1160.0,220.0,140.0,4460.0,500.0,440.0,100.0,0.0,1820.0,1880.0,0.0,480.0,120.0,0.0,640.0,500.0,760.0,100.0,0.0,1320.0,1150.0,0.0,220.0,0.0,480.0,1740.0,1720.0,460.0,100.0,860.0,100.0,0.0,160.0,100.0,280.0,100.0,177899.0,160.0,120.0,540.0,560.0,100.0,2480.0,160.0,100.0
Uden,1040.0,0.0,0.0,0.0,0.0,0.0,100.0,500.0,100.0,0.0,300.0,160.0,120.0,180.0,0.0,160.0,100.0,0.0,0.0,0.0,960.0,0.0,0.0,0.0,200.0,0.0,0.0,100.0,100.0,0.0,0.0,340.0,0.0,0.0,100.0,240.0,100.0,4633.0,100.0,0.0,0.0,0.0,100.0,0.0,1020.0,0.0,200.0,0.0,0.0,100.0,0.0,120.0,0.0,380.0,29909.0,0.0,100.0,100.0,0.0,120.0,0.0,0.0
Valkenswaard,440.0,0.0,0.0,100.0,0.0,540.0,0.0,0.0,120.0,200.0,0.0,0.0,100.0,160.0,120.0,0.0,0.0,0.0,0.0,200.0,3200.0,0.0,0.0,160.0,0.0,200.0,0.0,0.0,0.0,0.0,200.0,220.0,0.0,0.0,100.0,0.0,0.0,300.0,0.0,100.0,100.0,100.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,180.0,0.0,260.0,100.0,22070.0,1000.0,0.0,340.0,0.0,0.0,0.0
Veldhoven,680.0,0.0,0.0,0.0,100.0,180.0,0.0,0.0,320.0,300.0,0.0,100.0,100.0,280.0,100.0,100.0,100.0,0.0,0.0,320.0,7060.0,0.0,0.0,240.0,100.0,200.0,0.0,0.0,0.0,0.0,100.0,340.0,0.0,0.0,100.0,0.0,0.0,767.0,0.0,0.0,140.0,100.0,100.0,0.0,140.0,100.0,0.0,0.0,0.0,0.0,100.0,340.0,0.0,560.0,100.0,360.0,31150.0,100.0,260.0,100.0,0.0,100.0
Vught,2840.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,420.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,0.0,0.0,100.0,180.0,0.0,0.0,0.0,0.0,717.0,0.0,0.0,0.0,0.0,100.0,100.0,200.0,0.0,100.0,0.0,0.0,240.0,0.0,100.0,0.0,620.0,160.0,0.0,100.0,18879.0,0.0,100.0,100.0,100.0
Waalre,240.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,120.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,2640.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,180.0,100.0,300.0,800.0,0.0,11857.0,0.0,0.0,0.0
Waalwijk,1480.0,0.0,300.0,0.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,1180.0,0.0,0.0,0.0,340.0,100.0,0.0,440.0,100.0,340.0,0.0,0.0,160.0,100.0,0.0,140.0,0.0,0.0,100.0,1060.0,100.0,0.0,0.0,1260.0,200.0,0.0,100.0,0.0,200.0,120.0,480.0,140.0,0.0,160.0,0.0,0.0,100.0,0.0,100.0,0.0,2240.0,100.0,0.0,100.0,100.0,0.0,36000.0,300.0,100.0
Woensdrecht,133.0,0.0,0.0,0.0,100.0,0.0,1560.0,0.0,0.0,100.0,0.0,0.0,0.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,140.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,0.0,140.0,0.0,0.0,100.0,0.0,0.0,0.0,620.0,100.0,0.0,0.0,0.0,0.0,140.0,100.0,100.0,0.0,0.0,300.0,0.0,100.0,17173.0,0.0
Zundert,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,1900.0,0.0,0.0,0.0,0.0,100.0,0.0,120.0,800.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280.0,0.0,0.0,0.0,200.0,100.0,0.0,420.0,160.0,0.0,0.0,0.0,0.0,0.0,220.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,16312.0
