,Susceptible,Infected,Recovered,Dead
0,0.9996613613274636,0.0003386386725364037,0.0,0.0
1,0.9993327572078087,0.0006352061186309183,2.5292110705676235e-05,6.7445628548469964e-06
2,0.9989621435701943,0.00095754409122925,6.340447782353134e-05,1.6907860752941687e-05
3,0.9983946331490827,0.0014522811614072746,0.00012085712329728633,3.222856621260969e-05
4,0.9975137441570395,0.002222796785183696,0.0002079939929817228,5.546506479512608e-05
5,0.9961543517544269,0.00341325663212224,0.0003413618000927446,9.102981335806518e-05
6,0.9940369863908249,0.005271214491682946,0.0005461571980200789,0.00014564191947202105
7,0.9907172028635137,0.008190385717626297,0.0008624300675210559,0.00022998135133894817
8,0.985556344921561,0.012728774345039195,0.0013538532105786337,0.0003610275228209689
9,0.9775531619450089,0.01976457047136863,0.002117579671280985,0.0005646879123415961
10,0.965195548631778,0.03062007642877533,0.0033034538995631033,0.000880921039883494
11,0.9462097470855735,0.0472787521663931,0.005140658485289622,0.0013708422627438995
12,0.9174675869865725,0.07242772710074806,0.00797738361527321,0.0021273022974061893
13,0.8747870126788914,0.10960379414877243,0.012323047241318094,0.0032861459310181587
14,0.8133895035075395,0.16267141496481766,0.01889927489024444,0.005039806637398517
15,0.7292319875458311,0.23446590338919995,0.02865955978813349,0.0076425492768356
16,0.6216915836112804,0.32418689866617134,0.04272751399148549,0.011394003731062797
17,0.49697594842710235,0.42426432955172044,0.06217872791145578,0.01658099410972154
18,0.3690625506945006,0.5199336382383913,0.087634587684559,0.02336922338254907
19,0.25484272297672494,0.5946385094500491,0.11883060597886248,0.03168816159436332
20,0.16577406731612152,0.638514638392449,0.15450891654586543,0.041202377745564116
21,0.10373891459609022,0.6520226785946541,0.1928197948494124,0.0514186119598433
22,0.06389180176863198,0.6423160678489188,0.2319411555650916,0.06185097481735777
23,0.039502327132944264,0.6178895213280886,0.2704801196360267,0.07212803190294047
24,0.02487267142962217,0.585559573410476,0.30755349091571205,0.08201426424418987
25,0.016084750298798824,0.549844966962103,0.3426870653203406,0.09138321741875749
26,0.010722903717066494,0.5134185960547156,0.3756777633380668,0.10018073689015115
27,0.007374441603510176,0.4777472448681136,0.4064828791013497,0.10839543442702662
28,0.005226934012525623,0.4435859618491214,0.4351477137934366,0.1160393903449164
29,0.0038116076023408307,0.411288755158773,0.4617628715043838,0.12313676573450238
30,0.00285367524469047,0.38098874212435674,0.48644019681391015,0.12971738581704273
31,0.002188884825921854,0.3526983881416741,0.5092995213413716,0.13581320569103242
32,0.0017165881568507217,0.32636560731197806,0.5304614246298721,0.14145637990129922
33,0.00137373541655183,0.3019046738965666,0.5500433610685906,0.14667822961829086
34,0.0011198611190316298,0.27921379297794774,0.5681576415023847,0.15150870440063594
35,0.0009284366411833305,0.25818496918947204,0.5849104690810617,0.1559761250882831
36,0.0007816579342247,0.23870969023803076,0.6004015672324299,0.16010708459531467
37,0.000667403347964024,0.22068200836620105,0.6147241486467118,0.16392643963912312
38,0.0005772086778634949,0.20400037040047028,0.6279650691486838,0.16745735177298235
39,0.0005050886165042213,0.18856846231139388,0.6402050913727121,0.1707213576993899
40,0.00044675506798812355,0.17429559272424403,0.6515191991113958,0.17373845309637215
41,0.00039906533997353645,0.1610968174052161,0.6619769346748503,0.17652718257996014
42,0.0003596912180535193,0.14889283340433968,0.6716427437191632,0.1791047316584436
43,0.0003268876966222047,0.13760978158704115,0.6805763137234235,0.181487016992913
44,0.00029933333924141945,0.12717899254380682,0.6888329006186462,0.1836887734983056
45,0.00027601538191881207,0.11753670706780012,0.6964636401712745,0.18572363737900657
46,0.00025614542581180015,0.10862378728675433,0.7035158425953425,0.18760422469209131
47,0.00023910351952243324,0.10038542135925034,0.7100332698325478,0.1893422052886794
48,0.00022440020124019373,0.0927708326542296,0.7160563951141029,0.19094837203042747
49,0.00021164673571255046,0.08573300283803578,0.7216226450733567,0.19243270535289506
50,0.0002005314712694545,0.07922840988678814,0.7267666252436386,0.1938044333983037
51,0.00019079979941970428,0.073216782407242,0.7315203298368459,0.1950720879564923
52,0.00018224317102207916,0.06766086357268923,0.7359133367812805,0.1962435564750081
53,0.00017469129058860224,0.06252618982159833,0.739972988595642,0.19732613029217114
54,0.00016800245786641996,0.057780888227879044,0.7437245599849378,0.19832654932931676
